customer_id,facility_id,arrival_time,age,service_type,priority_level,customer_type,wait_tolerance,queue_length,queue_position,historical_avg_wait,active_staff_count,avg_service_time,staff_availability,hour_of_day,day_of_week,is_holiday,peak_hours,no_show_indicator,service_counters,operational_hours,feedback_score,actual_wait_time,queue_status
C000017,F003,16-01-2024 11:55,25,inquiry,elderly,appointment,16,18,13,18.0,6,8.0,0.85,11,1,0,1,0,5,12,3.9,18.9,congested
C000018,F002,10-01-2024 11:03,87,application,elderly,online,14,10,6,19.8,3,9.5,0.92,11,2,0,1,0,2,8,3.5,20.7,congested
C000019,F005,03-01-2024 17:04,48,complaint,normal,online,26,17,4,17.0,1,19.8,0.79,17,2,0,0,0,6,10,2.6,101.9,critical
C000020,F001,07-01-2024 18:45,48,renewal,normal,walk-in,19,16,13,18.2,3,9.1,0.74,18,6,0,0,0,5,8,4.8,54.2,critical
C000021,F003,07-01-2024 16:16,62,payment,normal,online,46,9,4,27.3,3,3.2,0.65,16,6,0,0,0,6,8,4.2,3.2,normal
C000022,F005,18-01-2024 12:59,31,complaint,elderly,appointment,14,16,9,23.4,3,18.5,0.95,12,3,0,1,0,3,10,3.4,41.5,critical
C000023,F003,21-01-2024 12:32,50,inquiry,normal,walk-in,27,14,2,53.8,5,6.0,0.81,12,6,0,1,0,3,12,4.1,1.0,normal
C000024,F001,14-01-2024 16:00,27,consultation,normal,walk-in,8,11,9,14.3,3,8.8,0.77,16,6,0,0,0,4,10,3.8,32.5,critical
C000025,F005,26-01-2024 08:57,44,renewal,normal,appointment,24,12,11,13.0,3,11.5,0.83,8,4,0,0,0,3,9,4.0,51.7,critical
C000026,F002,26-01-2024 10:56,21,inquiry,elderly,appointment,16,18,11,41.4,8,6.2,0.97,10,4,0,1,0,2,12,4.9,24.6,critical
C000027,F003,28-01-2024 15:14,76,payment,elderly,appointment,11,20,10,22.1,2,4.3,0.61,15,6,0,0,0,2,10,3.9,21.1,critical
C000028,F001,17-01-2024 14:43,60,application,normal,walk-in,8,5,1,18.0,2,3.0,0.77,14,2,0,0,0,6,12,4.7,1.0,normal
C000029,F005,26-01-2024 13:27,83,application,elderly,online,13,8,7,16.0,3,13.6,0.61,13,4,0,0,0,3,10,4.2,31.2,critical
C000030,F002,31-01-2024 18:58,58,renewal,normal,online,18,8,5,19.0,4,13.7,0.7,18,2,0,0,0,3,12,4.3,29.9,critical
C000031,F005,13-01-2024 18:47,90,payment,elderly,online,16,18,13,13.0,3,4.9,0.69,18,5,0,0,0,4,12,3.0,22.7,congested
C000032,F003,22-01-2024 11:32,39,inquiry,elderly,online,14,12,5,36.0,3,6.2,0.96,11,0,0,1,0,3,9,4.1,6.4,normal
C000033,F002,02-01-2024 11:30,27,application,normal,walk-in,18,34,27,28.8,8,16.5,0.94,11,1,0,1,0,2,8,3.6,120.0,critical
C000034,F005,08-01-2024 10:51,84,complaint,elderly,online,9,34,4,30.6,3,24.9,0.89,10,0,0,1,0,6,10,4.4,26.1,critical
C000035,F002,29-01-2024 15:39,82,complaint,elderly,appointment,18,18,18,24.0,2,12.5,0.82,15,0,0,0,0,4,12,3.5,96.1,critical
C000036,F002,09-01-2024 15:04,54,complaint,normal,walk-in,8,12,5,20.0,3,12.7,0.87,15,1,0,0,1,5,9,4.2,0.0,abandoned
C000037,F001,03-01-2024 14:26,87,renewal,elderly,online,12,19,14,11.0,2,10.8,0.85,14,2,0,0,0,6,12,4.3,64.3,critical
C000038,F004,31-01-2024 13:19,71,inquiry,elderly,walk-in,19,22,18,17.0,4,6.0,0.67,13,2,0,0,0,4,12,3.8,27.8,congested
C000039,F002,27-01-2024 15:58,86,payment,elderly,appointment,18,6,4,13.0,1,3.0,0.79,15,5,0,0,0,2,10,4.6,12.5,busy
C000040,F003,07-01-2024 15:20,66,renewal,normal,walk-in,12,16,14,23.4,1,5.7,0.74,15,6,0,0,0,3,8,3.0,102.9,critical
C000041,F005,21-01-2024 08:48,49,consultation,normal,walk-in,17,14,14,13.0,2,14.2,0.67,8,6,0,0,0,3,12,3.5,120.0,critical
C000042,F004,25-01-2024 13:10,32,application,normal,appointment,24,10,5,13.0,1,7.0,0.88,13,3,0,0,0,3,8,4.0,37.2,critical
C000043,F001,27-01-2024 18:15,56,consultation,urgent,appointment,5,31,26,16.9,1,16.8,0.7,18,5,0,0,1,6,10,1.0,0.0,abandoned
C000044,F003,14-01-2024 15:06,64,inquiry,normal,online,13,32,30,18.2,4,6.5,0.65,15,6,0,0,0,6,12,3.9,72.9,critical
C000045,F004,27-01-2024 17:17,49,renewal,normal,online,21,9,5,31.2,2,10.5,0.83,17,5,0,0,0,4,8,4.2,30.2,congested
C000046,F005,11-01-2024 10:31,63,payment,normal,walk-in,10,23,11,32.4,7,3.0,0.94,10,3,0,1,0,3,8,4.8,13.9,congested
C000047,F002,14-01-2024 15:35,78,payment,elderly,online,10,32,32,31.2,1,6.6,0.63,15,6,0,0,1,4,10,1.7,0.0,abandoned
C000048,F002,17-01-2024 13:27,88,complaint,elderly,online,10,15,6,24.0,3,23.8,0.69,13,2,0,0,0,4,8,4.0,46.5,critical
C000049,F002,31-01-2024 10:12,79,payment,elderly,appointment,19,23,19,34.2,3,8.8,0.97,10,2,0,1,0,4,8,3.4,38.9,critical
C000050,F005,05-01-2024 12:02,88,consultation,elderly,walk-in,11,25,23,25.2,8,8.4,0.97,12,4,0,1,0,4,12,3.6,32.9,critical
C000051,F001,11-01-2024 10:03,79,renewal,elderly,online,14,14,14,21.6,6,9.0,0.9,10,3,0,1,0,3,9,4.3,33.2,critical
C000052,F005,31-01-2024 12:05,33,payment,normal,appointment,26,39,27,30.6,7,10.5,0.88,12,2,0,1,0,5,10,3.9,65.9,critical
C000053,F002,02-01-2024 17:47,44,consultation,normal,walk-in,25,25,7,18.0,1,8.6,0.65,17,1,0,0,0,2,12,2.9,96.0,critical
C000054,F005,20-01-2024 15:18,47,consultation,normal,online,23,18,10,31.2,1,11.5,0.81,15,5,0,0,0,3,12,3.0,120.0,critical
C000055,F004,08-01-2024 18:09,36,renewal,normal,appointment,13,7,1,15.0,3,3.5,0.78,18,0,0,0,0,2,12,4.2,3.5,normal
C000056,F003,23-01-2024 14:17,87,application,elderly,online,19,20,15,12.0,1,16.1,0.87,14,1,0,0,0,2,8,1.0,120.0,critical
C000057,F002,22-01-2024 17:37,52,consultation,normal,appointment,25,23,2,15.0,4,19.1,0.76,17,0,0,0,0,6,12,4.5,10.1,normal
C000058,F004,16-01-2024 09:30,70,renewal,normal,appointment,13,27,11,23.4,4,8.2,0.87,9,1,0,1,0,6,8,3.4,29.7,critical
C000059,F004,11-01-2024 12:20,69,consultation,normal,online,26,37,1,43.2,6,16.3,0.81,12,3,0,1,0,5,8,3.9,4.5,congested
C000060,F003,18-01-2024 10:59,74,renewal,elderly,walk-in,21,36,8,18.0,8,10.7,0.92,10,3,0,1,0,6,8,4.0,10.3,congested
C000061,F003,03-01-2024 11:53,77,consultation,elderly,online,16,14,11,25.2,6,13.0,0.99,11,2,0,1,0,5,12,4.1,21.0,congested
C000062,F003,08-01-2024 15:35,67,payment,normal,appointment,26,11,10,14.0,1,6.1,0.68,15,0,0,0,0,6,10,4.2,88.4,critical
C000063,F004,10-01-2024 12:53,80,application,elderly,appointment,19,16,15,45.0,5,18.3,0.87,12,2,0,1,0,4,9,3.4,50.5,critical
C000064,F002,08-01-2024 17:24,70,payment,normal,online,26,6,3,25.0,4,5.3,0.72,17,0,0,0,0,5,8,3.9,6.7,normal
C000065,F001,31-01-2024 17:21,74,consultation,elderly,walk-in,14,8,8,10.0,2,9.9,0.72,17,2,0,0,0,5,10,2.8,41.2,critical
C000066,F002,23-01-2024 14:41,60,consultation,normal,walk-in,22,22,13,20.0,4,10.1,0.86,14,1,0,0,1,4,9,4.6,0.0,abandoned
C000067,F003,14-01-2024 09:48,30,complaint,elderly,appointment,22,44,11,44.5,3,18.8,0.81,9,6,0,1,0,4,12,3.7,60.7,critical
C000068,F002,17-01-2024 14:36,41,complaint,urgent,online,5,10,3,12.0,4,18.3,0.79,14,2,0,0,0,3,12,3.9,6.9,congested
C000069,F003,15-01-2024 12:42,77,consultation,elderly,online,25,15,11,16.2,3,14.5,0.89,12,0,1,1,0,5,10,2.4,41.8,critical
C000070,F004,10-01-2024 11:24,31,inquiry,normal,walk-in,21,21,13,37.8,7,5.1,0.86,11,2,0,1,0,4,8,3.3,19.6,busy
C000071,F002,22-01-2024 08:58,81,application,elderly,appointment,11,14,13,17.0,3,23.3,0.67,8,0,0,0,1,2,8,2.6,0.0,abandoned
C000072,F003,15-01-2024 08:37,34,renewal,elderly,online,13,4,3,12.0,4,13.3,0.65,8,0,1,0,0,6,10,4.6,11.0,busy
C000073,F004,09-01-2024 15:51,61,renewal,normal,online,23,8,8,12.0,2,13.0,0.83,15,1,0,0,0,6,10,2.8,62.5,critical
C000074,F002,13-01-2024 08:16,33,application,elderly,walk-in,24,24,12,23.4,4,21.3,0.85,8,5,0,0,0,5,8,3.0,52.7,critical
C000075,F001,31-01-2024 16:20,46,application,urgent,walk-in,5,25,3,24.0,3,24.4,0.79,16,2,0,0,0,4,12,4.1,12.4,critical
C000076,F004,08-01-2024 16:08,76,inquiry,elderly,online,10,16,14,14.0,4,3.4,0.8,16,0,0,0,0,4,8,4.2,11.4,congested
C000077,F004,07-01-2024 15:28,64,payment,normal,walk-in,33,10,6,27.3,1,3.0,0.72,15,6,0,0,0,2,9,3.9,25.2,busy
C000078,F002,20-01-2024 08:03,49,renewal,normal,online,21,11,10,20.8,1,8.2,0.85,8,5,0,0,0,3,10,4.5,97.8,critical
C000079,F001,26-01-2024 17:00,36,renewal,normal,walk-in,12,9,9,18.0,2,9.4,0.63,17,4,0,0,0,4,9,3.9,68.5,critical
C000080,F005,01-01-2024 10:16,34,consultation,urgent,appointment,5,19,17,14.0,8,14.6,0.81,10,0,1,1,0,6,8,4.1,17.2,critical
C000081,F001,08-01-2024 17:02,84,complaint,elderly,appointment,5,14,8,10.0,1,25.7,0.9,17,0,0,0,0,5,12,1.0,120.0,critical
C000082,F005,03-01-2024 13:38,26,payment,normal,appointment,36,9,5,20.0,4,4.7,0.9,13,2,0,0,0,6,12,4.8,5.6,normal
C000083,F004,23-01-2024 09:54,88,complaint,elderly,appointment,16,19,14,43.2,4,14.3,0.88,9,1,0,1,0,2,10,3.5,78.0,critical
C000084,F002,22-01-2024 12:23,78,payment,elderly,appointment,12,12,2,21.6,3,3.8,0.89,12,0,0,1,0,6,8,5.0,3.5,normal
C000085,F001,18-01-2024 16:21,33,complaint,elderly,appointment,19,18,12,23.0,1,26.7,0.89,16,3,0,0,0,6,9,1.0,120.0,critical
C000086,F005,16-01-2024 11:54,62,consultation,normal,online,24,39,24,23.4,5,8.7,0.91,11,1,0,1,0,6,8,3.5,43.3,critical
C000087,F004,22-01-2024 12:01,52,payment,normal,online,5,25,11,37.8,3,3.0,0.84,12,0,0,1,0,2,9,3.9,20.4,critical
C000088,F005,01-01-2024 09:47,45,application,normal,appointment,29,18,14,25.9,5,13.9,0.83,9,0,1,1,0,6,8,4.5,49.6,critical
C000089,F003,05-01-2024 10:48,24,application,normal,appointment,16,12,5,43.2,8,16.3,0.88,10,4,0,1,0,3,8,4.3,30.4,critical
C000090,F002,04-01-2024 12:43,80,complaint,elderly,walk-in,19,37,20,19.8,4,14.9,0.88,12,3,0,1,0,4,9,3.8,59.9,critical
C000091,F005,25-01-2024 12:18,33,renewal,normal,walk-in,22,9,8,41.4,4,7.6,0.83,12,3,0,1,0,6,10,4.3,19.8,busy
C000092,F004,28-01-2024 08:27,76,consultation,elderly,walk-in,17,9,6,29.9,4,8.7,0.81,8,6,0,0,0,2,10,5.0,19.9,congested
C000093,F004,31-01-2024 17:29,64,complaint,elderly,walk-in,21,7,4,13.0,2,10.8,0.73,17,2,0,0,0,4,10,4.6,21.0,busy
C000094,F002,25-01-2024 10:04,32,application,normal,online,25,37,33,28.8,5,14.9,0.87,10,3,0,1,0,3,8,2.3,120.0,critical
C000095,F005,07-01-2024 10:38,27,payment,urgent,appointment,5,23,21,58.5,6,8.5,0.95,10,6,0,1,0,6,10,3.8,8.2,critical
C000096,F003,21-01-2024 13:09,26,inquiry,elderly,walk-in,19,26,15,24.7,3,6.8,0.78,13,6,0,0,0,5,12,3.6,32.2,critical
C000097,F001,12-01-2024 12:04,29,complaint,normal,online,16,43,39,39.6,6,19.2,0.92,12,4,0,1,0,5,9,2.8,120.0,critical
C000098,F005,16-01-2024 16:09,75,consultation,elderly,appointment,19,8,6,12.0,2,16.6,0.61,16,1,0,0,0,6,9,3.4,55.8,critical
C000099,F003,30-01-2024 12:24,61,inquiry,normal,appointment,14,43,4,36.0,3,5.6,0.87,12,1,0,1,0,4,9,4.6,8.4,congested
C000100,F005,19-01-2024 18:09,57,renewal,normal,appointment,31,25,23,22.0,2,7.1,0.78,18,4,0,0,0,5,10,3.1,103.6,critical
C000101,F003,22-01-2024 18:58,29,application,normal,walk-in,22,25,22,23.0,3,10.9,0.61,18,0,0,0,0,5,9,3.5,120.0,critical
C000102,F005,05-01-2024 10:04,30,renewal,normal,walk-in,32,37,35,19.8,8,3.7,0.87,10,4,0,1,0,5,9,3.7,29.3,congested
C000103,F004,27-01-2024 17:51,74,payment,elderly,online,13,7,4,27.3,2,5.9,0.89,17,5,0,0,0,3,9,4.3,9.4,busy
C000104,F002,26-01-2024 15:57,65,payment,normal,appointment,27,23,15,24.0,3,5.2,0.83,15,4,0,0,0,3,9,3.6,31.0,congested
C000105,F002,02-01-2024 18:30,88,renewal,elderly,online,15,8,2,19.0,1,9.5,0.83,18,1,0,0,0,5,8,5.0,15.5,congested
C000106,F002,08-01-2024 15:56,21,renewal,normal,appointment,27,18,2,22.0,3,11.6,0.67,15,0,0,0,0,2,10,5.0,17.8,busy
C000107,F001,27-01-2024 18:21,35,payment,normal,online,37,7,3,32.5,2,3.4,0.83,18,5,0,0,0,2,8,3.9,7.2,normal
C000108,F005,27-01-2024 10:35,85,complaint,elderly,appointment,12,42,8,44.5,4,5.3,0.86,10,5,0,1,1,5,8,4.0,0.0,abandoned
C000109,F002,29-01-2024 15:38,20,application,normal,appointment,5,25,17,17.0,2,16.8,0.69,15,0,0,0,1,6,12,2.5,0.0,abandoned
C000110,F003,22-01-2024 09:33,26,renewal,elderly,appointment,19,37,35,18.0,6,4.0,0.97,9,0,0,1,1,4,8,5.0,0.0,abandoned
C000111,F002,03-01-2024 13:15,31,complaint,normal,online,19,23,11,14.0,1,16.3,0.71,13,2,0,0,1,5,12,1.7,0.0,abandoned
C000112,F003,26-01-2024 10:04,76,complaint,elderly,appointment,9,10,5,28.8,3,20.0,0.96,10,4,0,1,0,6,12,3.9,22.0,critical
C000113,F004,18-01-2024 15:16,42,consultation,normal,appointment,19,14,6,11.0,3,17.0,0.68,15,3,0,0,0,5,12,3.0,49.5,critical
C000114,F005,06-01-2024 15:44,65,inquiry,urgent,walk-in,5,27,9,15.6,4,6.5,0.62,15,5,0,0,0,4,10,4.4,3.1,busy
C000115,F003,11-01-2024 18:18,75,renewal,elderly,walk-in,22,24,23,23.0,2,8.9,0.81,18,3,0,0,0,6,12,2.6,88.1,critical
C000116,F001,26-01-2024 08:04,69,complaint,elderly,appointment,7,16,6,10.0,2,18.7,0.85,8,4,0,0,0,3,8,3.9,46.5,critical
C000117,F005,21-01-2024 13:23,90,inquiry,elderly,walk-in,18,7,5,18.2,4,3.8,0.88,13,6,0,0,0,3,10,3.5,6.2,normal
C000118,F004,21-01-2024 12:15,21,consultation,elderly,online,21,23,16,51.5,7,13.0,0.82,12,6,0,1,0,3,10,5.0,59.5,critical
C000119,F003,16-01-2024 11:07,27,payment,normal,appointment,29,34,12,43.2,3,5.1,0.96,11,1,0,1,0,2,10,5.0,33.0,congested
C000120,F004,28-01-2024 10:45,40,complaint,normal,walk-in,34,37,33,39.8,3,11.9,1.0,10,6,0,1,0,2,10,2.2,120.0,critical
C000121,F005,12-01-2024 15:51,34,application,urgent,appointment,6,24,3,12.0,3,21.8,0.72,15,4,0,0,0,5,12,3.6,7.7,congested
C000122,F005,03-01-2024 10:20,27,complaint,elderly,online,18,34,30,37.8,4,7.6,0.98,10,2,0,1,0,3,9,4.4,52.1,critical
C000123,F005,30-01-2024 08:53,84,consultation,elderly,appointment,19,9,5,15.0,2,11.5,0.7,8,1,0,0,0,4,8,4.1,28.2,congested
C000124,F005,21-01-2024 16:17,56,payment,normal,walk-in,5,31,18,15.6,2,8.3,0.78,16,6,0,0,0,6,10,2.4,94.2,critical
C000125,F001,19-01-2024 08:52,28,consultation,normal,online,19,6,6,18.0,2,15.2,0.83,8,4,0,0,0,5,10,3.6,54.7,critical
C000126,F002,10-01-2024 15:15,69,complaint,normal,appointment,6,14,8,12.0,1,5.6,0.65,15,2,0,0,0,4,9,3.7,67.9,critical
C000127,F002,23-01-2024 13:46,69,renewal,normal,appointment,19,9,6,13.0,3,7.8,0.67,13,1,0,0,0,3,8,3.6,24.1,congested
C000128,F004,31-01-2024 14:55,71,application,elderly,online,17,12,3,20.0,3,18.7,0.66,14,2,0,0,0,5,10,4.0,19.9,congested
C000129,F004,03-01-2024 14:32,48,inquiry,normal,online,12,11,10,21.0,1,7.0,0.62,14,2,0,0,0,4,8,3.0,113.8,critical
C000130,F005,14-01-2024 10:56,64,renewal,elderly,appointment,11,39,24,25.7,6,3.7,0.81,10,6,0,1,0,4,8,4.1,20.1,critical
C000131,F002,15-01-2024 16:17,33,application,normal,appointment,35,5,1,13.2,3,15.2,0.84,16,0,1,0,0,3,12,4.0,5.7,normal
C000132,F005,02-01-2024 08:08,60,complaint,normal,appointment,21,20,17,24.0,2,23.1,0.78,8,1,0,0,0,4,9,1.0,120.0,critical
C000133,F003,20-01-2024 12:37,82,renewal,elderly,walk-in,11,49,35,58.5,8,9.7,0.91,12,5,0,1,0,4,8,3.5,66.3,critical
C000134,F002,19-01-2024 12:50,21,complaint,normal,online,10,43,31,32.4,8,8.9,0.96,12,4,0,1,0,2,12,4.7,120.0,critical
C000135,F004,21-01-2024 17:49,36,inquiry,normal,walk-in,26,15,1,16.9,2,4.0,0.61,17,6,0,0,0,3,12,4.5,1.3,normal
C000136,F003,20-01-2024 15:55,25,complaint,normal,appointment,27,11,9,20.8,3,17.2,0.9,15,5,0,0,0,3,12,3.1,57.4,critical
C000137,F003,11-01-2024 16:22,51,complaint,normal,appointment,13,24,16,16.0,2,12.6,0.68,16,3,0,0,0,3,12,2.7,120.0,critical
C000138,F003,12-01-2024 16:59,53,complaint,normal,walk-in,19,14,2,22.0,4,14.1,0.85,16,4,0,0,0,2,10,3.7,16.5,busy
C000139,F001,03-01-2024 13:59,50,inquiry,elderly,walk-in,16,20,7,16.0,3,7.8,0.88,13,2,0,0,0,6,9,4.8,13.1,busy
C000140,F001,22-01-2024 16:14,47,complaint,normal,walk-in,25,6,1,23.0,3,18.5,0.82,16,0,0,0,0,6,9,3.9,7.3,normal
C000141,F002,30-01-2024 15:30,43,complaint,normal,online,16,14,6,19.0,1,27.5,0.87,15,1,0,0,1,6,8,1.5,0.0,abandoned
C000142,F005,06-01-2024 14:56,22,payment,normal,online,14,22,16,19.5,3,6.9,0.86,14,5,0,0,1,2,10,5.0,0.0,abandoned
C000143,F004,21-01-2024 16:33,35,inquiry,normal,online,20,27,15,23.4,2,6.3,0.84,16,6,0,0,0,4,9,3.5,56.6,critical
C000144,F002,11-01-2024 12:36,42,complaint,elderly,walk-in,13,18,13,41.4,7,14.1,0.87,12,3,0,1,0,3,12,3.8,48.2,critical
C000145,F003,08-01-2024 08:16,48,inquiry,elderly,appointment,10,19,9,20.0,3,4.9,0.77,8,0,0,0,0,3,8,2.8,9.8,busy
C000146,F002,15-01-2024 12:10,82,inquiry,elderly,online,18,15,12,14.0,8,6.8,0.98,12,0,1,1,0,3,9,4.3,22.3,congested
C000147,F005,15-01-2024 17:23,88,inquiry,elderly,walk-in,16,12,9,9.6,2,6.5,0.8,17,0,1,0,0,5,10,3.6,27.3,critical
C000148,F002,19-01-2024 09:03,82,application,elderly,walk-in,12,19,19,25.2,4,17.6,0.87,9,4,0,1,0,6,12,3.2,67.0,critical
C000149,F003,17-01-2024 15:51,76,consultation,elderly,online,25,9,9,23.0,4,18.5,0.77,15,2,0,0,0,2,12,4.4,73.9,critical
C000150,F004,01-01-2024 11:37,23,consultation,elderly,walk-in,11,19,12,13.0,7,8.9,1.0,11,0,1,1,0,2,10,3.2,37.6,critical
C000151,F005,25-01-2024 10:49,71,complaint,elderly,online,6,28,13,43.2,6,18.3,0.88,10,3,0,1,0,3,10,4.0,63.8,critical
C000152,F004,18-01-2024 14:33,46,payment,elderly,online,10,5,1,19.0,4,3.0,0.8,14,3,0,0,0,3,9,4.6,2.4,normal
C000153,F004,05-01-2024 12:12,32,complaint,normal,walk-in,14,10,7,18.0,4,18.3,0.84,12,4,0,1,1,6,8,3.5,0.0,abandoned
C000154,F003,02-01-2024 14:28,87,payment,elderly,online,13,11,1,14.0,3,7.0,0.67,14,1,0,0,0,6,10,4.1,4.2,normal
C000155,F002,29-01-2024 10:42,46,application,elderly,online,20,32,20,32.4,3,18.9,0.91,10,0,0,1,0,5,12,2.0,99.0,critical
C000156,F004,12-01-2024 18:42,85,inquiry,elderly,online,27,15,12,23.0,4,3.0,0.64,18,4,0,0,0,3,9,3.7,9.6,normal
C000157,F002,23-01-2024 10:51,25,inquiry,normal,appointment,22,39,27,41.4,7,4.8,0.91,10,1,0,1,0,4,8,4.2,35.0,critical
C000158,F005,28-01-2024 13:05,42,application,normal,online,18,7,3,28.6,1,14.4,0.86,13,6,0,0,0,3,12,3.8,52.2,critical
C000159,F002,30-01-2024 13:19,45,consultation,normal,appointment,16,11,2,25.0,2,10.3,0.81,13,1,0,0,0,6,10,4.6,10.9,busy
C000160,F004,13-01-2024 15:34,63,complaint,normal,online,16,18,9,27.3,4,4.8,0.74,15,5,0,0,0,4,9,4.5,17.0,congested
C000161,F005,14-01-2024 08:36,36,payment,normal,appointment,29,6,3,29.9,3,4.2,0.65,8,6,0,0,0,3,12,3.2,10.1,normal
C000162,F002,31-01-2024 18:21,80,renewal,elderly,walk-in,9,25,24,25.0,4,3.0,0.65,18,2,0,0,0,6,12,4.0,21.8,critical
C000163,F001,29-01-2024 16:41,85,consultation,elderly,walk-in,15,6,1,11.0,1,18.7,0.72,16,0,0,0,0,3,8,4.4,19.5,congested
C000164,F005,15-01-2024 13:03,79,application,elderly,appointment,13,12,1,6.0,4,19.1,0.6,13,0,1,0,0,4,8,3.1,4.7,normal
C000165,F003,23-01-2024 18:27,31,payment,normal,appointment,12,8,3,17.0,2,5.6,0.79,18,1,0,0,0,5,8,4.5,11.2,busy
C000166,F001,13-01-2024 15:36,46,payment,normal,appointment,24,18,3,14.3,1,5.7,0.72,15,5,0,0,0,2,9,4.0,21.1,busy
C000167,F004,28-01-2024 14:41,90,renewal,elderly,online,18,10,9,14.3,2,14.8,0.66,14,6,0,0,0,4,8,3.5,69.1,critical
C000168,F004,22-01-2024 12:57,90,application,elderly,online,16,10,3,36.0,3,12.7,0.99,12,0,0,1,0,2,10,3.8,12.0,busy
C000169,F001,08-01-2024 17:53,87,inquiry,elderly,walk-in,19,15,7,14.0,1,4.3,0.75,17,0,0,0,0,5,9,4.0,28.2,congested
C000170,F004,11-01-2024 17:49,68,application,normal,appointment,16,15,1,18.0,4,13.3,0.75,17,3,0,0,0,3,12,4.9,5.1,normal
C000171,F004,20-01-2024 12:51,27,payment,normal,online,17,16,9,32.8,6,3.0,0.94,12,5,0,1,0,4,10,4.2,7.7,normal
C000172,F004,01-01-2024 12:28,52,renewal,elderly,online,16,8,3,13.0,4,10.9,0.89,12,0,1,1,0,2,8,4.9,14.6,busy
C000173,F002,18-01-2024 09:38,59,application,normal,online,23,30,1,34.2,6,24.4,0.88,9,3,0,1,0,6,9,4.0,3.2,normal
C000174,F001,06-01-2024 10:17,52,renewal,elderly,appointment,8,46,10,28.1,4,8.5,0.89,10,5,0,1,0,4,10,4.6,17.0,critical
C000175,F004,24-01-2024 18:31,43,application,normal,online,25,19,4,14.0,3,14.7,0.6,18,2,0,0,0,4,12,4.3,31.8,congested
C000176,F003,27-01-2024 18:38,56,payment,normal,appointment,10,19,7,32.5,3,4.6,0.65,18,5,0,0,0,5,9,4.3,16.9,critical
C000177,F002,09-01-2024 14:23,90,consultation,elderly,online,23,11,10,15.0,1,14.4,0.89,14,1,0,0,0,5,10,2.2,114.6,critical
C000178,F001,03-01-2024 14:43,35,inquiry,elderly,appointment,17,25,10,17.0,3,9.8,0.8,14,2,0,0,0,5,12,4.8,30.4,critical
C000179,F003,18-01-2024 16:59,71,complaint,elderly,online,22,22,2,21.0,1,14.9,0.63,16,3,0,0,0,3,8,3.4,34.5,critical
C000180,F005,21-01-2024 18:41,60,inquiry,normal,online,18,23,4,13.0,1,11.1,0.68,18,6,0,0,0,6,9,4.1,66.1,critical
