facility_id,age,service_type,priority_level,customer_type,wait_tolerance,queue_length,queue_position,historical_avg_wait,active_staff_count,avg_service_time,staff_availability,hour_of_day,day_of_week,is_holiday,peak_hours,no_show_indicator,service_counters,operational_hours,feedback_score,actual_wait_time,queue_status
F005,88,consultation,elderly,walk-in,11,25,23,25.2,8,8.4,0.97,12,4,0,1,0,4,12,3.6,,critical
F001,79,renewal,elderly,online,14,14,14,21.6,6,9,0.9,10,3,0,1,0,3,9,4.3,,critical
F005,33,payment,normal,appointment,26,39,27,30.6,7,10.5,0.88,12,2,0,1,0,5,10,3.9,,critical
F002,44,consultation,normal,walk-in,25,25,7,18,1,8.6,0.65,17,1,0,0,0,2,12,2.9,,critical
F005,47,consultation,normal,online,23,18,10,31.2,1,11.5,0.81,15,5,0,0,0,3,12,3,,critical
F004,36,renewal,normal,appointment,13,7,1,15,3,3.5,0.78,18,0,0,0,0,2,12,4.2,,normal
F003,87,application,elderly,online,19,20,15,12,1,16.1,0.87,14,1,0,0,0,2,8,1,,critical
F002,52,consultation,normal,appointment,25,23,2,15,4,19.1,0.76,17,0,0,0,0,6,12,4.5,,normal
F004,70,renewal,normal,appointment,13,27,11,23.4,4,8.2,0.87,9,1,0,1,0,6,8,3.4,,critical
F004,69,consultation,normal,online,26,37,1,43.2,6,16.3,0.81,12,3,0,1,0,5,8,3.9,,congested
F003,74,renewal,elderly,walk-in,21,36,8,18,8,10.7,0.92,10,3,0,1,0,6,8,4,,congested
F003,77,consultation,elderly,online,16,14,11,25.2,6,13,0.99,11,2,0,1,0,5,12,4.1,,congested
F003,67,payment,normal,appointment,26,11,10,14,1,6.1,0.68,15,0,0,0,0,6,10,4.2,,critical
F004,80,application,elderly,appointment,19,16,15,45,5,18.3,0.87,12,2,0,1,0,4,9,3.4,,critical
F002,70,payment,normal,online,26,6,3,25,4,5.3,0.72,17,0,0,0,0,5,8,3.9,,normal
F001,74,consultation,elderly,walk-in,14,8,8,10,2,9.9,0.72,17,2,0,0,0,5,10,2.8,,critical
F002,60,consultation,normal,walk-in,22,22,13,20,4,10.1,0.86,14,1,0,0,1,4,9,4.6,,abandoned
F003,30,complaint,elderly,appointment,22,44,11,44.5,3,18.8,0.81,9,6,0,1,0,4,12,3.7,,critical
F002,41,complaint,urgent,online,5,10,3,12,4,18.3,0.79,14,2,0,0,0,3,12,3.9,,congested
F003,77,consultation,elderly,online,25,15,11,16.2,3,14.5,0.89,12,0,1,1,0,5,10,2.4,,critical
F004,31,inquiry,normal,walk-in,21,21,13,37.8,7,5.1,0.86,11,2,0,1,0,4,8,3.3,,busy
F002,81,application,elderly,appointment,11,14,13,17,3,23.3,0.67,8,0,0,0,1,2,8,2.6,,abandoned
F003,34,renewal,elderly,online,13,4,3,12,4,13.3,0.65,8,0,1,0,0,6,10,4.6,,busy
F004,61,renewal,normal,online,23,8,8,12,2,13,0.83,15,1,0,0,0,6,10,2.8,,critical
F002,33,application,elderly,walk-in,24,24,12,23.4,4,21.3,0.85,8,5,0,0,0,5,8,3,,critical
F001,46,application,urgent,walk-in,5,25,3,24,3,24.4,0.79,16,2,0,0,0,4,12,4.1,,critical
F004,76,inquiry,elderly,online,10,16,14,14,4,3.4,0.8,16,0,0,0,0,4,8,4.2,,congested
F004,64,payment,normal,walk-in,33,10,6,27.3,1,3,0.72,15,6,0,0,0,2,9,3.9,,busy
F002,49,renewal,normal,online,21,11,10,20.8,1,8.2,0.85,8,5,0,0,0,3,10,4.5,,critical
F001,36,renewal,normal,walk-in,12,9,9,18,2,9.4,0.63,17,4,0,0,0,4,9,3.9,,critical
F005,34,consultation,urgent,appointment,5,19,17,14,8,14.6,0.81,10,0,1,1,0,6,8,4.1,,critical
F001,84,complaint,elderly,appointment,5,14,8,10,1,25.7,0.9,17,0,0,0,0,5,12,1,,critical
F005,26,payment,normal,appointment,36,9,5,20,4,4.7,0.9,13,2,0,0,0,6,12,4.8,,normal
F004,88,complaint,elderly,appointment,16,19,14,43.2,4,14.3,0.88,9,1,0,1,0,2,10,3.5,,critical
F002,78,payment,elderly,appointment,12,12,2,21.6,3,3.8,0.89,12,0,0,1,0,6,8,5,,normal
F001,33,complaint,elderly,appointment,19,18,12,23,1,26.7,0.89,16,3,0,0,0,6,9,1,,critical
F005,62,consultation,normal,online,24,39,24,23.4,5,8.7,0.91,11,1,0,1,0,6,8,3.5,,critical
F004,52,payment,normal,online,5,25,11,37.8,3,3,0.84,12,0,0,1,0,2,9,3.9,,critical
F005,45,application,normal,appointment,29,18,14,25.9,5,13.9,0.83,9,0,1,1,0,6,8,4.5,,critical
F003,24,application,normal,appointment,16,12,5,43.2,8,16.3,0.88,10,4,0,1,0,3,8,4.3,,critical
F002,80,complaint,elderly,walk-in,19,37,20,19.8,4,14.9,0.88,12,3,0,1,0,4,9,3.8,,critical
F005,33,renewal,normal,walk-in,22,9,8,41.4,4,7.6,0.83,12,3,0,1,0,6,10,4.3,,busy
F004,76,consultation,elderly,walk-in,17,9,6,29.9,4,8.7,0.81,8,6,0,0,0,2,10,5,,congested
F004,64,complaint,elderly,walk-in,21,7,4,13,2,10.8,0.73,17,2,0,0,0,4,10,4.6,,busy
F002,32,application,normal,online,25,37,33,28.8,5,14.9,0.87,10,3,0,1,0,3,8,2.3,,critical
F005,27,payment,urgent,appointment,5,23,21,58.5,6,8.5,0.95,10,6,0,1,0,6,10,3.8,,critical
F003,26,inquiry,elderly,walk-in,19,26,15,24.7,3,6.8,0.78,13,6,0,0,0,5,12,3.6,,critical
F001,29,complaint,normal,online,16,43,39,39.6,6,19.2,0.92,12,4,0,1,0,5,9,2.8,,critical
F005,75,consultation,elderly,appointment,19,8,6,12,2,16.6,0.61,16,1,0,0,0,6,9,3.4,,critical
F003,61,inquiry,normal,appointment,14,43,4,36,3,5.6,0.87,12,1,0,1,0,4,9,4.6,,congested
F005,57,renewal,normal,appointment,31,25,23,22,2,7.1,0.78,18,4,0,0,0,5,10,3.1,,critical
F003,29,application,normal,walk-in,22,25,22,23,3,10.9,0.61,18,0,0,0,0,5,9,3.5,,critical
F005,30,renewal,normal,walk-in,32,37,35,19.8,8,3.7,0.87,10,4,0,1,0,5,9,3.7,,congested
F004,74,payment,elderly,online,13,7,4,27.3,2,5.9,0.89,17,5,0,0,0,3,9,4.3,,busy
F002,65,payment,normal,appointment,27,23,15,24,3,5.2,0.83,15,4,0,0,0,3,9,3.6,,congested
F002,88,renewal,elderly,online,15,8,2,19,1,9.5,0.83,18,1,0,0,0,5,8,5,,congested
F002,21,renewal,normal,appointment,27,18,2,22,3,11.6,0.67,15,0,0,0,0,2,10,5,,busy
F001,35,payment,normal,online,37,7,3,32.5,2,3.4,0.83,18,5,0,0,0,2,8,3.9,,normal
F005,85,complaint,elderly,appointment,12,42,8,44.5,4,5.3,0.86,10,5,0,1,1,5,8,4,,abandoned
F002,20,application,normal,appointment,5,25,17,17,2,16.8,0.69,15,0,0,0,1,6,12,2.5,,abandoned
F003,26,renewal,elderly,appointment,19,37,35,18,6,4,0.97,9,0,0,1,1,4,8,5,,abandoned
F002,31,complaint,normal,online,19,23,11,14,1,16.3,0.71,13,2,0,0,1,5,12,1.7,,abandoned
F003,76,complaint,elderly,appointment,9,10,5,28.8,3,20,0.96,10,4,0,1,0,6,12,3.9,,critical
F004,42,consultation,normal,appointment,19,14,6,11,3,17,0.68,15,3,0,0,0,5,12,3,,critical
F005,65,inquiry,urgent,walk-in,5,27,9,15.6,4,6.5,0.62,15,5,0,0,0,4,10,4.4,,busy
F003,75,renewal,elderly,walk-in,22,24,23,23,2,8.9,0.81,18,3,0,0,0,6,12,2.6,,critical
F001,69,complaint,elderly,appointment,7,16,6,10,2,18.7,0.85,8,4,0,0,0,3,8,3.9,,critical
F005,90,inquiry,elderly,walk-in,18,7,5,18.2,4,3.8,0.88,13,6,0,0,0,3,10,3.5,,normal
F004,21,consultation,elderly,online,21,23,16,51.5,7,13,0.82,12,6,0,1,0,3,10,5,,critical
F003,27,payment,normal,appointment,29,34,12,43.2,3,5.1,0.96,11,1,0,1,0,2,10,5,,congested
F004,40,complaint,normal,walk-in,34,37,33,39.8,3,11.9,1,10,6,0,1,0,2,10,2.2,,critical
F005,34,application,urgent,appointment,6,24,3,12,3,21.8,0.72,15,4,0,0,0,5,12,3.6,,congested
F005,27,complaint,elderly,online,18,34,30,37.8,4,7.6,0.98,10,2,0,1,0,3,9,4.4,,critical
F005,84,consultation,elderly,appointment,19,9,5,15,2,11.5,0.7,8,1,0,0,0,4,8,4.1,,congested
F005,56,payment,normal,walk-in,5,31,18,15.6,2,8.3,0.78,16,6,0,0,0,6,10,2.4,,critical
F001,28,consultation,normal,online,19,6,6,18,2,15.2,0.83,8,4,0,0,0,5,10,3.6,,critical
F002,69,complaint,normal,appointment,6,14,8,12,1,5.6,0.65,15,2,0,0,0,4,9,3.7,,critical
F002,69,renewal,normal,appointment,19,9,6,13,3,7.8,0.67,13,1,0,0,0,3,8,3.6,,congested
F004,71,application,elderly,online,17,12,3,20,3,18.7,0.66,14,2,0,0,0,5,10,4,,congested
F004,48,inquiry,normal,online,12,11,10,21,1,7,0.62,14,2,0,0,0,4,8,3,,critical
F005,64,renewal,elderly,appointment,11,39,24,25.7,6,3.7,0.81,10,6,0,1,0,4,8,4.1,,critical
F002,33,application,normal,appointment,35,5,1,13.2,3,15.2,0.84,16,0,1,0,0,3,12,4,,normal
F005,60,complaint,normal,appointment,21,20,17,24,2,23.1,0.78,8,1,0,0,0,4,9,1,,critical
F003,82,renewal,elderly,walk-in,11,49,35,58.5,8,9.7,0.91,12,5,0,1,0,4,8,3.5,,critical
F002,21,complaint,normal,online,10,43,31,32.4,8,8.9,0.96,12,4,0,1,0,2,12,4.7,,critical
F004,36,inquiry,normal,walk-in,26,15,1,16.9,2,4,0.61,17,6,0,0,0,3,12,4.5,,normal
F003,25,complaint,normal,appointment,27,11,9,20.8,3,17.2,0.9,15,5,0,0,0,3,12,3.1,,critical
F003,51,complaint,normal,appointment,13,24,16,16,2,12.6,0.68,16,3,0,0,0,3,12,2.7,,critical
F003,53,complaint,normal,walk-in,19,14,2,22,4,14.1,0.85,16,4,0,0,0,2,10,3.7,,busy
F001,50,inquiry,elderly,walk-in,16,20,7,16,3,7.8,0.88,13,2,0,0,0,6,9,4.8,,busy
F001,47,complaint,normal,walk-in,25,6,1,23,3,18.5,0.82,16,0,0,0,0,6,9,3.9,,normal
F002,43,complaint,normal,online,16,14,6,19,1,27.5,0.87,15,1,0,0,1,6,8,1.5,,abandoned
F005,22,payment,normal,online,14,22,16,19.5,3,6.9,0.86,14,5,0,0,1,2,10,5,,abandoned
F004,35,inquiry,normal,online,20,27,15,23.4,2,6.3,0.84,16,6,0,0,0,4,9,3.5,,critical
F002,42,complaint,elderly,walk-in,13,18,13,41.4,7,14.1,0.87,12,3,0,1,0,3,12,3.8,,critical
F003,48,inquiry,elderly,appointment,10,19,9,20,3,4.9,0.77,8,0,0,0,0,3,8,2.8,,busy
F002,82,inquiry,elderly,online,18,15,12,14,8,6.8,0.98,12,0,1,1,0,3,9,4.3,,congested
F005,88,inquiry,elderly,walk-in,16,12,9,9.6,2,6.5,0.8,17,0,1,0,0,5,10,3.6,,critical
F002,82,application,elderly,walk-in,12,19,19,25.2,4,17.6,0.87,9,4,0,1,0,6,12,3.2,,critical
F003,76,consultation,elderly,online,25,9,9,23,4,18.5,0.77,15,2,0,0,0,2,12,4.4,,critical
F004,23,consultation,elderly,walk-in,11,19,12,13,7,8.9,1,11,0,1,1,0,2,10,3.2,,critical
F005,71,complaint,elderly,online,6,28,13,43.2,6,18.3,0.88,10,3,0,1,0,3,10,4,,critical
F004,46,payment,elderly,online,10,5,1,19,4,3,0.8,14,3,0,0,0,3,9,4.6,,normal
F004,32,complaint,normal,walk-in,14,10,7,18,4,18.3,0.84,12,4,0,1,1,6,8,3.5,,abandoned
F003,87,payment,elderly,online,13,11,1,14,3,7,0.67,14,1,0,0,0,6,10,4.1,,normal
F002,46,application,elderly,online,20,32,20,32.4,3,18.9,0.91,10,0,0,1,0,5,12,2,,critical
F004,85,inquiry,elderly,online,27,15,12,23,4,3,0.64,18,4,0,0,0,3,9,3.7,,normal
F002,25,inquiry,normal,appointment,22,39,27,41.4,7,4.8,0.91,10,1,0,1,0,4,8,4.2,,critical
F005,42,application,normal,online,18,7,3,28.6,1,14.4,0.86,13,6,0,0,0,3,12,3.8,,critical
F002,45,consultation,normal,appointment,16,11,2,25,2,10.3,0.81,13,1,0,0,0,6,10,4.6,,busy
F004,63,complaint,normal,online,16,18,9,27.3,4,4.8,0.74,15,5,0,0,0,4,9,4.5,,congested
F005,36,payment,normal,appointment,29,6,3,29.9,3,4.2,0.65,8,6,0,0,0,3,12,3.2,,normal
F002,80,renewal,elderly,walk-in,9,25,24,25,4,3,0.65,18,2,0,0,0,6,12,4,,critical
F001,85,consultation,elderly,walk-in,15,6,1,11,1,18.7,0.72,16,0,0,0,0,3,8,4.4,,congested
F005,79,application,elderly,appointment,13,12,1,6,4,19.1,0.6,13,0,1,0,0,4,8,3.1,,normal
F003,31,payment,normal,appointment,12,8,3,17,2,5.6,0.79,18,1,0,0,0,5,8,4.5,,busy
F001,46,payment,normal,appointment,24,18,3,14.3,1,5.7,0.72,15,5,0,0,0,2,9,4,,busy
F004,90,renewal,elderly,online,18,10,9,14.3,2,14.8,0.66,14,6,0,0,0,4,8,3.5,,critical
F004,90,application,elderly,online,16,10,3,36,3,12.7,0.99,12,0,0,1,0,2,10,3.8,,busy
F001,87,inquiry,elderly,walk-in,19,15,7,14,1,4.3,0.75,17,0,0,0,0,5,9,4,,congested
F004,68,application,normal,appointment,16,15,1,18,4,13.3,0.75,17,3,0,0,0,3,12,4.9,,normal
F004,27,payment,normal,online,17,16,9,32.8,6,3,0.94,12,5,0,1,0,4,10,4.2,,normal
F004,52,renewal,elderly,online,16,8,3,13,4,10.9,0.89,12,0,1,1,0,2,8,4.9,,busy
F002,59,application,normal,online,23,30,1,34.2,6,24.4,0.88,9,3,0,1,0,6,9,4,,normal
F001,52,renewal,elderly,appointment,8,46,10,28.1,4,8.5,0.89,10,5,0,1,0,4,10,4.6,,critical
F004,43,application,normal,online,25,19,4,14,3,14.7,0.6,18,2,0,0,0,4,12,4.3,,congested
F003,56,payment,normal,appointment,10,19,7,32.5,3,4.6,0.65,18,5,0,0,0,5,9,4.3,,critical
F002,90,consultation,elderly,online,23,11,10,15,1,14.4,0.89,14,1,0,0,0,5,10,2.2,,critical
F001,35,inquiry,elderly,appointment,17,25,10,17,3,9.8,0.8,14,2,0,0,0,5,12,4.8,,critical
F003,71,complaint,elderly,online,22,22,2,21,1,14.9,0.63,16,3,0,0,0,3,8,3.4,,critical
F005,60,inquiry,normal,online,18,23,4,13,1,11.1,0.68,18,6,0,0,0,6,9,4.1,,critical
F001,82,complaint,elderly,walk-in,12,11,6,13,4,17.2,0.63,15,5,0,0,0,3,10,4.7,,critical
F001,62,inquiry,urgent,appointment,5,21,4,25.9,8,4,0.94,11,0,1,1,0,2,8,3.5,,normal
F004,49,payment,normal,walk-in,18,49,12,35.1,5,6.3,0.91,9,6,0,1,0,3,9,5,,congested
F001,43,complaint,normal,appointment,13,24,19,29.9,4,16.4,0.6,14,6,0,0,0,6,8,2.3,,critical
F003,43,renewal,elderly,online,14,34,8,32.4,8,4,0.97,10,3,0,1,0,6,12,4.9,,congested
F001,76,renewal,elderly,appointment,14,43,12,34.2,7,11.2,0.92,9,4,0,1,0,3,10,3.1,,critical
F002,71,inquiry,elderly,online,9,43,9,39.6,6,7,0.84,10,4,0,1,0,6,9,3.8,,congested
F005,24,inquiry,normal,online,18,28,1,45,4,11.1,0.84,10,4,0,1,0,5,12,4.5,,normal
F002,28,payment,urgent,appointment,5,29,1,22.1,3,6.3,0.61,15,6,0,0,0,5,12,4.4,,normal
F002,87,renewal,elderly,online,15,16,2,24,2,15.7,0.9,17,3,0,0,0,4,8,3.6,,busy
F002,48,consultation,urgent,online,5,19,19,37.8,8,18,0.92,9,4,0,1,0,3,9,2.2,,critical
F001,86,renewal,elderly,online,20,10,6,19,3,11.7,0.77,13,4,0,0,0,3,12,2.9,,busy
F002,34,complaint,elderly,appointment,16,12,3,20,2,16.5,0.83,18,1,0,0,0,6,10,4,,congested
F001,29,complaint,elderly,online,17,22,17,23.4,3,11.3,0.74,15,5,0,0,0,2,12,4.5,,critical
F003,86,consultation,elderly,appointment,19,17,7,23,2,17.1,0.75,13,1,0,0,0,6,9,3.9,,critical
F004,24,complaint,urgent,appointment,5,6,1,24,1,18.6,0.64,13,1,0,0,0,2,12,4.1,,critical
F002,56,complaint,elderly,online,8,18,9,21.6,8,22.3,0.87,10,1,0,1,1,2,12,3.9,,abandoned
F004,29,complaint,normal,online,17,14,1,28.8,6,19.4,0.82,11,2,0,1,0,2,8,4.6,,busy
F003,34,inquiry,normal,walk-in,11,46,5,39.8,6,7.2,0.82,9,5,0,1,0,4,10,4.8,,congested
F002,36,complaint,urgent,online,5,12,9,18,7,8,0.93,10,3,0,1,0,3,12,5,,critical
F001,35,consultation,normal,appointment,15,8,7,22.7,6,16.2,0.86,11,0,1,1,0,3,10,3.8,,critical
F004,56,complaint,normal,walk-in,8,11,9,16,4,22.5,0.69,8,1,0,0,1,5,8,2.8,,abandoned
F005,19,application,normal,appointment,5,20,11,18.2,4,23.5,0.86,17,6,0,0,0,3,12,3.6,,critical
F005,26,application,normal,appointment,19,9,5,28.8,3,19.9,0.98,9,3,0,1,0,4,12,3.9,,critical
F002,86,application,elderly,walk-in,13,56,10,42.1,3,21.7,0.86,9,5,0,1,0,6,10,4.6,,critical
F004,26,complaint,elderly,walk-in,18,18,14,22.1,1,19,0.67,18,6,0,0,0,6,8,1,,critical
F003,33,payment,normal,online,9,5,2,10,2,5.2,0.75,18,2,0,0,0,3,10,3.4,,busy
F001,21,consultation,normal,online,24,27,26,41.4,5,16.1,0.9,12,3,0,1,0,5,12,3.4,,critical
F002,39,application,elderly,walk-in,23,16,6,18,1,22.9,0.87,15,1,0,0,0,6,8,1.6,,critical
F004,78,consultation,elderly,online,17,20,13,18.2,2,11.4,0.88,8,6,0,0,0,3,10,3.8,,critical
F001,65,consultation,normal,appointment,15,8,1,15,2,12.1,0.84,13,1,0,0,0,5,10,4.7,,normal
F002,76,application,elderly,online,11,5,3,16,3,15.9,0.77,13,2,0,0,0,5,10,3.8,,critical
F001,49,application,elderly,online,7,16,1,41.4,3,11,0.85,11,1,0,1,0,4,8,5,,normal
F001,85,payment,elderly,appointment,10,28,14,58.5,3,6.1,0.99,12,5,0,1,0,2,9,3,,critical
F005,76,renewal,elderly,online,25,7,5,13,2,7.1,0.79,14,2,0,0,0,2,12,4.3,,busy
F002,58,renewal,elderly,walk-in,15,30,23,36,5,6.3,0.89,11,4,0,1,0,6,8,4.1,,critical
F001,70,renewal,normal,walk-in,6,10,9,27.3,2,11,0.74,15,5,0,0,0,3,10,3.5,,critical
F003,59,payment,urgent,appointment,5,9,2,17,3,4.9,0.72,17,1,0,0,1,3,8,5,,abandoned
F001,88,complaint,elderly,walk-in,11,15,2,31.2,1,28.9,0.84,15,6,0,0,1,3,9,4,,abandoned
F004,28,complaint,normal,online,15,29,19,23.4,1,11.5,0.61,13,5,0,0,1,3,8,1.4,,abandoned
F002,77,consultation,elderly,appointment,6,7,2,29.9,4,16.6,0.75,13,5,0,0,0,4,9,3.6,,critical
F004,22,payment,normal,online,18,43,40,30.6,8,5.8,0.86,12,1,0,1,0,2,8,4.4,,critical
F004,85,complaint,elderly,online,17,12,11,10,4,24.5,0.83,14,4,0,0,0,4,10,3.9,,critical
F002,46,application,elderly,walk-in,17,6,3,14.3,4,7.4,0.76,8,5,0,0,0,2,9,4.4,,busy
F002,25,complaint,normal,walk-in,23,12,10,22,3,19.2,0.88,16,1,0,0,0,3,10,3.6,,critical
F001,21,application,normal,walk-in,9,16,5,16,4,17.2,0.76,13,1,0,0,0,2,9,4,,critical
F001,60,consultation,normal,appointment,19,14,4,8.4,3,14.7,0.82,16,0,1,0,0,2,9,4.2,,critical
F003,85,consultation,elderly,walk-in,15,28,3,37.8,8,15.8,0.99,10,1,0,1,0,4,10,4.1,,normal
F004,80,complaint,elderly,walk-in,15,32,21,19.5,3,15.2,0.67,14,5,0,0,0,4,10,2.5,,critical
F005,68,application,urgent,walk-in,5,23,2,15,3,9.8,0.88,8,2,0,0,0,2,12,5,,normal
F001,58,renewal,normal,online,18,18,3,36,6,6.7,0.8,9,2,0,1,0,4,10,5,,normal
F001,74,inquiry,elderly,appointment,15,18,6,23,4,8.1,0.86,8,2,0,0,0,5,9,3.4,,busy
F001,58,consultation,normal,online,9,13,2,12,3,14.3,0.65,8,2,0,0,0,6,8,4.8,,congested
F004,73,consultation,elderly,walk-in,15,32,11,29.9,2,16.9,0.62,15,5,0,0,0,6,10,2.5,,critical
F003,68,consultation,normal,walk-in,38,41,36,45,4,10.5,0.81,11,2,0,1,1,6,12,2.7,,abandoned
F003,55,complaint,normal,online,31,7,4,14,5,12.8,0.96,11,0,1,1,0,2,12,4.8,,busy
F001,75,payment,elderly,online,13,6,3,24,4,3.4,0.68,14,0,0,0,0,3,8,3.9,,normal
F005,47,application,elderly,appointment,9,22,2,22,4,14.8,0.89,16,4,0,0,0,3,12,4.5,,busy
F002,84,application,elderly,walk-in,22,29,22,18.2,1,10,0.88,8,5,0,0,0,3,9,1.4,,critical
F003,36,payment,normal,online,18,24,9,20,1,9.6,0.63,18,2,0,0,0,4,12,2.7,,critical
F001,71,application,elderly,walk-in,20,4,4,8.4,2,23.1,0.77,17,0,1,0,0,6,8,2.8,,critical
F005,70,renewal,elderly,walk-in,15,16,13,32.5,4,6.1,0.61,16,6,0,0,0,6,12,3.8,,congested
F003,24,payment,normal,appointment,16,20,9,21,1,4.7,0.7,13,0,0,0,0,5,8,3.6,,critical
F004,74,complaint,elderly,walk-in,9,27,9,41.4,7,22.8,0.93,10,0,0,1,0,5,10,4.6,,critical
